image,forgery_detected,confidence,num_sift_clusters,num_dct_clusters,num_regions,processing_time,output_path
.\dataset\CoMoFoD\forged\187_F_JC4.jpg,True,0.83,1,11,7,0.852,output\CoMoFoD\187_F_JC4_detected.png
.\dataset\CoMoFoD\forged\188_F_JC4.jpg,True,0.534,2,0,7,1.062,output\CoMoFoD\188_F_JC4_detected.png
.\dataset\CoMoFoD\forged\193_F_JC4.jpg,True,0.872,1,3,6,0.797,output\CoMoFoD\193_F_JC4_detected.png
.\dataset\CoMoFoD\forged\194_F_JC4.jpg,True,0.437,1,0,8,1.059,output\CoMoFoD\194_F_JC4_detected.png
.\dataset\CoMoFoD\forged\195_F_JC4.jpg,True,0.602,2,0,4,0.925,output\CoMoFoD\195_F_JC4_detected.png
.\dataset\CoMoFoD\forged\196_F_JC4.jpg,True,0.438,1,0,9,1.014,output\CoMoFoD\196_F_JC4_detected.png
.\dataset\CoMoFoD\forged\197_F_JC4.jpg,False,0.0,0,0,0,1.039,output\CoMoFoD\197_F_JC4_detected.png
.\dataset\CoMoFoD\forged\198_F_JC4.jpg,False,0.0,0,0,0,2.616,output\CoMoFoD\198_F_JC4_detected.png
.\dataset\CoMoFoD\forged\199_F_JC4.jpg,True,0.849,1,2,5,0.56,output\CoMoFoD\199_F_JC4_detected.png
.\dataset\CoMoFoD\forged\200_F_JC4.jpg,True,0.432,1,0,2,0.905,output\CoMoFoD\200_F_JC4_detected.png
.\dataset\CoMoFoD\original\187_O_JC4.jpg,False,0.0,0,9,0,0.799,output\CoMoFoD\187_O_JC4_detected.png
.\dataset\CoMoFoD\original\188_O_JC4.jpg,True,0.49,1,0,7,1.082,output\CoMoFoD\188_O_JC4_detected.png
.\dataset\CoMoFoD\original\193_O_JC4.jpg,False,0.0,1,1,0,0.926,output\CoMoFoD\193_O_JC4_detected.png
.\dataset\CoMoFoD\original\194_O_JC4.jpg,False,0.0,0,0,0,1.024,output\CoMoFoD\194_O_JC4_detected.png
.\dataset\CoMoFoD\original\195_O_JC4.jpg,False,0.0,0,0,0,1.041,output\CoMoFoD\195_O_JC4_detected.png
.\dataset\CoMoFoD\original\196_O_JC4.jpg,False,0.0,0,0,0,1.054,output\CoMoFoD\196_O_JC4_detected.png
.\dataset\CoMoFoD\original\197_O_JC4.jpg,False,0.0,0,0,0,1.167,output\CoMoFoD\197_O_JC4_detected.png
.\dataset\CoMoFoD\original\198_O_JC4.jpg,False,0.0,0,0,0,1.074,output\CoMoFoD\198_O_JC4_detected.png
.\dataset\CoMoFoD\original\199_O_JC4.jpg,True,0.784,1,1,3,0.71,output\CoMoFoD\199_O_JC4_detected.png
.\dataset\CoMoFoD\original\200_O_JC4.jpg,False,0.0,0,0,0,1.012,output\CoMoFoD\200_O_JC4_detected.png
